Wavelength,R,G,B,"Color function derived from BD Bioscience's SpectraViewer, which is loosely based on Dan Bruton's algorithm and my custom derived extensions past the 255 cutoff, scaled to fit within the RGB color space rather than be clipped."
320,0,0,0,
321,0.018645665,0,0.018645665,
322,0.03418372,0,0.03418372,
323,0.046614163,0,0.046614163,
324,0.059044607,0,0.059044607,
325,0.07147505,0,0.07147505,
326,0.080797883,0,0.080797883,
327,0.090120716,0,0.093228327,
328,0.102551159,0,0.102551159,
329,0.111873992,0,0.114981603,
330,0.121196825,0,0.124304435,
331,0.127412046,0,0.133627268,
332,0.136734879,0,0.142950101,
333,0.146057712,0,0.152272933,
334,0.152272933,0,0.161595766,
335,0.158488155,0,0.170918599,
336,0.167810988,0,0.180241431,
337,0.17402621,0,0.189564264,
338,0.180241431,0,0.198887097,
339,0.186456653,0,0.208209929,
340,0.192671875,0,0.217532762,
341,0.198887097,0,0.226855595,
342,0.205102318,0,0.233070816,
343,0.21131754,0,0.242393649,
344,0.217532762,0,0.251716482,
345,0.223747984,0,0.261039314,
346,0.226855595,0,0.267254536,
347,0.233070816,0,0.276577369,
348,0.239286038,0,0.285900201,
349,0.242393649,0,0.292115423,
350,0.24550126,0,0.292115423,
351,0.251716482,0,0.307653478,
352,0.254824093,0,0.31697631,
353,0.261039314,0,0.326299143,
354,0.264146925,0,0.332514365,
355,0.267254536,0,0.341837197,
356,0.270362147,0,0.348052419,
357,0.273469758,0,0.357375252,
358,0.276577369,0,0.363590474,
359,0.27968498,0,0.372913306,
360,0.282792591,0,0.379128528,
361,0.285900201,0,0.38534375,
362,0.289007812,0,0.394666582,
363,0.292115423,0,0.400881804,
364,0.292115423,0,0.410204637,
365,0.295223034,0,0.41952747,
366,0.298330645,0,0.425742691,
367,0.298330645,0,0.431957913,
368,0.301438256,0,0.438173135,
369,0.301438256,0,0.447495967,
370,0.304545867,0,0.453711189,
371,0.304545867,0,0.459926411,
372,0.307653478,0,0.469249244,
373,0.307653478,0,0.475464465,
374,0.307653478,0,0.481679687,
375,0.310761089,0,0.49100252,
376,0.310761089,0,0.497217742,
377,0.310761089,0,0.503432963,
378,0.310761089,0,0.509648185,
379,0.310761089,0,0.518971018,
380,0.310761089,0,0.52518624,
381,0.310761089,0,0.531401461,
382,0.310761089,0,0.537616683,
383,0.310761089,0,0.546939516,
384,0.310761089,0,0.553154738,
385,0.310761089,0,0.559369959,
386,0.307653478,0,0.565585181,
387,0.307653478,0,0.574908014,
388,0.307653478,0,0.581123236,
389,0.304545867,0,0.587338457,
390,0.304545867,0,0.593553679,
391,0.301438256,0,0.599768901,
392,0.301438256,0,0.609091734,
393,0.298330645,0,0.615306955,
394,0.298330645,0,0.621522177,
395,0.295223034,0,0.627737399,
396,0.292115423,0,0.633952621,
397,0.292115423,0,0.640167842,
398,0.289007812,0,0.649490675,
399,0.285900201,0,0.655705897,
400,0.282792591,0,0.661921119,
401,0.27968498,0,0.66813634,
402,0.276577369,0,0.674351562,
403,0.273469758,0,0.680566784,
404,0.270362147,0,0.686782006,
405,0.267254536,0,0.692997227,
406,0.264146925,0,0.70232006,
407,0.261039314,0,0.708535282,
408,0.254824093,0,0.714750504,
409,0.251716482,0,0.720965725,
410,0.24550126,0,0.727180947,
411,0.242393649,0,0.733396169,
412,0.239286038,0,0.739611391,
413,0.233070816,0,0.745826612,
414,0.226855595,0,0.752041834,
415,0.223747984,0,0.758257056,
416,0.217532762,0,0.764472278,
417,0.21131754,0,0.7706875,
418,0.205102318,0,0.776902721,
419,0.198887097,0,0.783117943,
420,0.192671875,0,0.790576209,
421,0.186456653,0,0.797877092,
422,0.17713382,0,0.802984345,
423,0.170918599,0,0.808121934,
424,0.161595766,0,0.813281827,
425,0.152272933,0,0.81845613,
426,0.146057712,0,0.823637127,
427,0.136734879,0,0.828817325,
428,0.127412046,0,0.833989496,
429,0.121196825,0,0.83914672,
430,0.111873992,0,0.844282422,
431,0.102551159,0,0.849390406,
432,0.093228327,0,0.854464893,
433,0.083905494,0,0.859500544,
434,0.074582661,0,0.864492488,
435,0.062152218,0,0.869436343,
436,0.052829385,0,0.874328226,
437,0.040398942,0,0.879164767,
438,0.027968498,0,0.883943111,
439,0.015538054,0,0.888660909,
440,0,0,0.893316315,
441,0,0.03418372,0.897907962,
442,0,0.059044607,0.902434935,
443,0,0.080797883,0.906896738,
444,0,0.102551159,0.911293248,
445,0,0.124304435,0.91562466,
446,0,0.142950101,0.919891424,
447,0,0.161595766,0.924094167,
448,0,0.180241431,0.928233609,
449,0,0.198887097,0.932310466,
450,0,0.217532762,0.936325335,
451,0,0.233070816,0.940278578,
452,0,0.251716482,0.944170179,
453,0,0.267254536,0.947999602,
454,0,0.285900201,0.95176562,
455,0,0.301438256,0.955466142,
456,0,0.31697631,0.959098017,
457,0,0.332514365,0.962656827,
458,0,0.348052419,0.96613666,
459,0,0.363590474,0.969529871,
460,0,0.379128528,0.972826821,
461,0,0.394666582,0.976015602,
462,0,0.410204637,0.979081741,
463,0,0.425742691,0.982006465,
464,0,0.438173135,0.983389267,
465,0,0.453711189,0.984679737,
466,0,0.469249244,0.985863853,
467,0,0.481679687,0.98692543,
468,0,0.497217742,0.987845913,
469,0,0.509648185,0.988604166,
470,0,0.52518624,0.989176235,
471,0,0.537616683,0.989535117,
