Wavelength,R,G,B,"Color function derived from BD Bioscience's SpectraViewer, which is loosely based on Dan Bruton's algorithm."
320,0,0,0,
321,0.023596787,0,0.023596787,
322,0.043260776,0,0.043260776,
323,0.058991966,0,0.058991966,
324,0.074723158,0,0.074723158,
325,0.090454348,0,0.090454348,
326,0.102252742,0,0.102252742,
327,0.114051136,0,0.117983934,
328,0.129782327,0,0.129782327,
329,0.14158072,0,0.145513518,
330,0.153379114,0,0.157311911,
331,0.161244709,0,0.169110304,
332,0.173043103,0,0.180908699,
333,0.184841496,0,0.192707091,
334,0.192707091,0,0.204505484,
335,0.200572686,0,0.216303879,
336,0.21237108,0,0.22810227,
337,0.220236676,0,0.239900664,
338,0.22810227,0,0.251699058,
339,0.235967866,0,0.263497451,
340,0.243833463,0,0.275295845,
341,0.251699058,0,0.287094238,
342,0.259564652,0,0.294959832,
343,0.267430248,0,0.306758227,
344,0.275295845,0,0.31855662,
345,0.28316144,0,0.330355013,
346,0.287094238,0,0.338220609,
347,0.294959832,0,0.350019003,
348,0.302825428,0,0.361817395,
349,0.306758227,0,0.369682991,
350,0.310691024,0,0.369682991,
351,0.31855662,0,0.389346981,
352,0.322489418,0,0.401145373,
353,0.330355013,0,0.412943767,
354,0.334287811,0,0.420809363,
355,0.338220609,0,0.432607755,
356,0.342153407,0,0.440473351,
357,0.346086205,0,0.452271745,
358,0.350019003,0,0.460137341,
359,0.3539518,0,0.471935733,
360,0.357884599,0,0.479801329,
361,0.361817395,0,0.487666924,
362,0.365750192,0,0.499465317,
363,0.369682991,0,0.507330913,
364,0.369682991,0,0.519129307,
365,0.373615788,0,0.5309277,
366,0.377548587,0,0.538793295,
367,0.377548587,0,0.546658891,
368,0.381481384,0,0.554524487,
369,0.381481384,0,0.56632288,
370,0.385414183,0,0.574188475,
371,0.385414183,0,0.582054071,
372,0.389346981,0,0.593852465,
373,0.389346981,0,0.601718059,
374,0.389346981,0,0.609583655,
375,0.393279778,0,0.621382049,
376,0.393279778,0,0.629247645,
377,0.393279778,0,0.63711324,
378,0.393279778,0,0.644978835,
379,0.393279778,0,0.656777229,
380,0.393279778,0,0.664642825,
381,0.393279778,0,0.67250842,
382,0.393279778,0,0.680374016,
383,0.393279778,0,0.692172409,
384,0.393279778,0,0.700038005,
385,0.393279778,0,0.7079036,
386,0.389346981,0,0.715769195,
387,0.389346981,0,0.727567589,
388,0.389346981,0,0.735433185,
389,0.385414183,0,0.74329878,
390,0.385414183,0,0.751164376,
391,0.381481384,0,0.759029972,
392,0.381481384,0,0.770828365,
393,0.377548587,0,0.77869396,
394,0.377548587,0,0.786559556,
395,0.373615788,0,0.794425151,
396,0.369682991,0,0.802290747,
397,0.369682991,0,0.810156341,
398,0.365750192,0,0.821954736,
399,0.361817395,0,0.829820332,
400,0.357884599,0,0.837685927,
401,0.3539518,0,0.845551522,
402,0.350019003,0,0.853417118,
403,0.346086205,0,0.861282713,
404,0.342153407,0,0.869148309,
405,0.338220609,0,0.877013904,
406,0.334287811,0,0.888812298,
407,0.330355013,0,0.896677894,
408,0.322489418,0,0.90454349,
409,0.31855662,0,0.912409084,
410,0.310691024,0,0.92027468,
411,0.306758227,0,0.928140276,
412,0.302825428,0,0.936005871,
413,0.294959832,0,0.943871466,
414,0.287094238,0,0.951737062,
415,0.28316144,0,0.959602657,
416,0.275295845,0,0.967468254,
417,0.267430248,0,0.97533385,
418,0.259564652,0,0.983199444,
419,0.251699058,0,0.99106504,
420,0.243833463,0,1,
421,0.235967866,0,1,
422,0.224169473,0,1,
423,0.216303879,0,1,
