Wavelength,r,g,b,Color matching function (Stiles & Burch 1959 10-deg RGB) from the Colour and Vision Research Laboratory (http://cvrl.ioo.ucl.ac.uk/). Normalized for luminance using the equation L = SQRT(0.241*R^2 + 0.691*G^2 + 0.068*B^2) from http://alienryderflex.com/hsp.html
390,1.154853286,-0.307960876,4.773393581,
395,1.130968352,-0.297623251,4.791734335,
400,1.073559759,-0.30156173,4.824987679,
405,1.007889715,-0.316305815,4.857170648,
410,0.949949253,-0.322982746,4.885453303,
415,0.84806096,-0.321017425,4.935044002,
420,0.748772365,-0.30825529,4.981149494,
425,0.624698645,-0.276734131,5.0352512,
430,0.495777229,-0.232250004,5.084212116,
435,0.328021637,-0.161379629,5.133743272,
440,0.170857169,-0.089395856,5.162742934,
445,-0.02276526,0.012417415,5.17392275,
450,-0.246081833,0.145692801,5.148155511,
455,-0.534743292,0.350615189,5.038715145,
460,-0.911139171,0.618886984,4.75626108,
465,-1.282019987,0.927175169,4.246691208,
470,-1.610846013,1.24346008,3.46473195,
475,-1.806320876,1.509760733,2.545025235,
480,-1.862225775,1.689797462,1.724283125,
485,-1.825834732,1.803783588,1.129018578,
490,-1.729800779,1.889967518,0.728758662,
495,-1.593238866,1.96559132,0.46902088,
500,-1.4171628,2.039411294,0.296463942,
505,-1.226843804,2.10400749,0.171876668,
510,-1.000709871,2.165023536,0.097344257,
515,-0.725726652,2.220468915,0.050928186,
520,-0.443051826,2.258135113,0.022628991,
525,-0.099638145,2.279079401,0.001603372,
530,0.282791008,2.27123487,-0.009574814,
535,0.670943338,2.229332497,-0.013718969,
540,1.093653941,2.142419101,-0.016731273,
545,1.495660019,2.014878781,-0.018211404,
550,1.868201675,1.849704629,-0.017942135,
555,2.181284566,1.666020495,-0.016660205,
560,2.467187179,1.448681703,-0.014708231,
565,2.679853258,1.241423914,-0.012602553,
570,2.846534886,1.035344317,-0.010591758,
575,2.965608397,0.84818841,-0.008909029,
580,3.047731527,0.684020948,-0.007218312,
585,3.104672055,0.53800139,-0.005709619,
590,3.138110008,0.427924092,-0.004533958,
595,3.16,0.336,-0.00357,
600,3.174145827,0.259338728,-0.002773623,
605,3.182914822,0.19713537,-0.002135633,
610,3.188135182,0.148059159,-0.001621086,
615,3.191154555,0.110047903,-0.001208415,
620,3.192928954,0.079627738,-0.000886201,
625,3.193961382,0.054606437,-0.000650567,
630,3.194449583,0.037326449,-4.72E-04,
635,3.194707434,0.02353995,-2.96E-04,
640,3.194838209,0.011336523,-1.41E-04,
645,3.194877678,2.47E-04,-6.96E-06,
650,3.194868095,-0.005589999,9.67E-05,
655,3.194842378,-0.010721309,1.54E-04,
660,3.194802786,-0.015614239,1.88E-04,
665,3.19475993,-0.019577645,2.19E-04,
670,3.194730036,-0.021921997,2.43E-04,
675,3.194706728,-0.023588823,2.58E-04,
680,3.194688748,-0.024798117,2.70E-04,
685,3.194676647,-0.025579885,2.76E-04,
690,3.194669046,-0.026058905,2.85E-04,
695,3.194663754,-0.026387296,2.87E-04,
700,3.194662984,-0.026434711,2.88E-04,
705,3.194663012,-0.026432999,2.85E-04,
710,3.194665696,-0.026267251,2.84E-04,
715,3.194672193,-0.025861632,2.82E-04,
720,3.194678882,-0.025437255,2.78E-04,
725,3.194686886,-0.024920007,2.72E-04,
730,3.194695509,-0.024350448,2.64E-04,
735,3.194704582,-0.023736356,2.55E-04,
740,3.194715977,-0.02294192,2.49E-04,
745,3.194729011,-2.20E-02,2.39E-04,
750,3.194741507,-2.11E-02,2.30E-04,
755,3.194753598,-2.01E-02,2.20E-04,
760,3.19476601,-1.91E-02,2.10E-04,
765,3.194777218,-1.81E-02,1.99E-04,
770,3.194787316,-1.72E-02,1.88E-04,
775,3.194797439,-1.62E-02,1.77E-04,
780,3.194807663,-1.51E-02,1.65E-04,
785,3.194817646,-1.40E-02,1.52E-04,
790,3.19482713,-1.28E-02,1.40E-04,
795,3.194836282,-1.16E-02,1.27E-04,
800,3.194845815,-1.02E-02,1.14E-04,
805,3.194854423,-8.70E-03,1.01E-04,
810,3.194861748,-7.20E-03,8.73E-05,
815,3.194867739,-5.69E-03,7.35E-05,
820,3.19E+00,-4.26E-03,5.94E-05,
825,3.19E+00,-2.99E-03,4.53E-05,
830,3.19E+00,-1.95E-03,3.10E-05,
