Wavelength,r,g,b,Color matching function (Stiles & Burch 1959 10-deg RGB) from the Colour and Vision Research Laboratory (http://cvrl.ioo.ucl.ac.uk/). Normalized to a maximum value of 1 and normalized for luminance using the equation L = SQRT(0.241*R^2 + 0.691*G^2 + 0.068*B^2) from http://alienryderflex.com/hsp.html
390,0.223206519,-0.059521738,0.922586944,
395,0.218590112,-0.057523714,0.92613179,
400,0.207494354,-0.058284931,0.932558894,
405,0.194801848,-0.061134623,0.93877912,
410,0.183603293,-0.06242512,0.944245506,
415,0.163910634,-0.062045268,0.953830245,
420,0.144720438,-0.059578642,0.962741373,
425,0.120739848,-0.053486328,0.973197986,
430,0.09582231,-0.044888572,0.982661002,
435,0.063399021,-0.031190962,0.992234233,
440,0.033022752,-0.017278158,0.997839199,
445,-0.0044,0.0024,1,
450,-0.047561946,0.02815906,0.995019787,
455,-0.103353552,0.067765834,0.973867487,
460,-0.176102198,0.119616588,0.919275627,
465,-0.247784911,0.179201587,0.820787517,
470,-0.311339402,0.24033217,0.669652818,
475,-0.349120187,0.291801947,0.491894711,
480,-0.359925315,0.326598897,0.33326418,
485,-0.352891765,0.348629787,0.218213265,
490,-0.334330616,0.365287154,0.14085225,
495,-0.307936346,0.379903492,0.090650924,
500,-0.273904901,0.394171191,0.057299646,
505,-0.237120627,0.406656147,0.033219798,
510,-0.19341415,0.418449142,0.018814401,
515,-0.140266233,0.429165456,0.009843244,
520,-0.085631705,0.436445463,0.004373662,
525,-0.019257757,0.440493512,0.000309895,
530,0.054656983,0.438977345,-0.001850591,
535,0.129677881,0.430878582,-0.002651561,
540,0.211378096,0.414080226,-0.003233769,
545,0.289076604,0.389429622,-0.003519845,
550,0.361080319,0.357505266,-0.003467801,
555,0.421592024,0.322003357,-0.003220034,
560,0.476850409,0.279996779,-0.002842762,
565,0.51795386,0.239938626,-0.002435783,
570,0.550169576,0.20010819,-0.002047143,
575,0.573183741,0.163935267,-0.00172191,
580,0.589056249,0.132205481,-0.001395133,
585,0.60006154,0.103983267,-0.001103538,
590,0.606524326,0.082707863,-0.000876309,
595,0.610755157,0.064941055,-0.000689999,
600,0.613489219,0.050124198,-0.000536077,
605,0.615184064,0.038101723,-0.000412769,
610,0.616193039,0.028616422,-0.000313318,
615,0.616776614,0.021269723,-0.000233559,
620,0.617119564,0.015390206,-0.000171282,
625,0.617319109,0.010554165,-0.00012574,
630,0.617413467,0.007214342,-9.13E-05,
635,0.617463304,0.00454973,-5.73E-05,
640,0.617488579,0.002191089,-2.73E-05,
645,0.617496208,4.77E-05,-1.35E-06,
650,0.617494356,-0.001080418,1.87E-05,
655,0.617489385,-0.002072182,2.98E-05,
660,0.617481733,-0.003017872,3.63E-05,
665,0.61747345,-0.003783907,4.24E-05,
670,0.617467672,-0.004237017,4.70E-05,
675,0.617463167,-0.004559176,4.99E-05,
680,0.617459692,-0.004792904,5.21E-05,
685,0.617457353,-0.004944002,5.34E-05,
690,0.617455884,-0.005036586,5.50E-05,
695,0.617454861,-0.005100056,5.55E-05,
700,0.617454713,-0.00510922,5.57E-05,
705,0.617454718,-0.005108889,5.52E-05,
710,0.617455237,-0.005076854,5.49E-05,
715,0.617456492,-0.004998457,5.46E-05,
720,0.617457785,-0.004916435,5.37E-05,
725,0.617459332,-0.004816463,5.25E-05,
730,0.617460999,-0.00470638,5.11E-05,
735,0.617462752,-0.004587691,4.93E-05,
740,0.617464955,-0.004434144,4.81E-05,
745,0.617467474,-4.25E-03,4.62E-05,
750,0.617469889,-4.07E-03,4.44E-05,
755,0.617472226,-3.88E-03,4.25E-05,
760,0.617474625,-3.68E-03,4.05E-05,
765,0.617476791,-3.50E-03,3.84E-05,
770,0.617478743,-3.31E-03,3.64E-05,
775,0.6174807,-3.12E-03,3.42E-05,
780,0.617482676,-2.92E-03,3.18E-05,
785,0.617484605,-2.70E-03,2.94E-05,
790,0.617486438,-2.48E-03,2.71E-05,
795,0.617488207,-2.24E-03,2.46E-05,
800,0.617490049,-1.97E-03,2.21E-05,
805,0.617491713,-1.68E-03,1.94E-05,
810,0.617493129,-1.39E-03,1.69E-05,
815,0.617494287,-1.10E-03,1.42E-05,
820,6.17E-01,-8.23E-04,1.15E-05,
825,6.17E-01,-5.78E-04,8.76E-06,
830,6.17E-01,-3.76E-04,6.00E-06,
