Wavelength,r,g,b,rspline3b,rspline3c,rspline3d,gspline3b,gspline3c,gspline3d,bspline3b,bspline3c,bspline3d,,Color matching function (Stiles & Burch 1959 10-deg RGB) from the Colour and Vission Research Laboratory (http://cvrl.ioo.ucl.ac.uk/). Cubic spline coefficients were generated with Stata 11.
390,0.0015,-0.0004,0.0062,0.00035613,0,4.16E-06,-0.00009089,0,-1.16E-06,0.00149571,0,0.00001937,,
395,0.0038,-0.001,0.0161,0.00066775,0.00006232,1.63E-06,-0.00017821,-0.00001746,-1.38E-06,0.00294857,0.00029057,0.00001514,,
400,0.0089,-0.0025,0.04,0.00141288,0.0000867,5.34E-06,-0.00045626,-0.00003815,-1.32E-06,0.00699,0.00051771,0.00002166,,
405,0.0188,-0.0059,0.0906,0.00268072,0.00016686,-0.000011,-0.00093674,-0.00005795,1.06E-06,0.01379143,0.00084257,-4.97E-06,,
410,0.035,-0.0119,0.18,0.00352425,1.84E-06,3.46E-06,-0.00143678,-0.00004206,2.83E-07,0.0218443,0.000768,4.63E-06,,
415,0.0531,-0.0201,0.309,0.00380228,0.00005376,-0.00002604,-0.00183614,-0.00003781,0.00001061,0.02987139,0.00083742,-0.00009834,,
420,0.0702,-0.0289,0.467,0.00238664,-0.00033689,0.00002071,-0.00141867,0.0001213,-6.71E-06,0.03087014,-0.00063767,0.00007673,,
425,0.0763,-0.0338,0.615,0.00057116,-0.00002621,-0.000032,-0.00070917,0.0000206,0.00001545,0.03024805,0.00051325,-0.00012057,,
430,0.0745,-0.0349,0.764,-0.00209127,-0.00050628,0.00003771,0.00065536,0.00025231,-0.00001828,0.02633768,-0.00129532,0.00011756,,
435,0.0561,-0.0276,0.878,-0.00432607,0.00005932,-0.00002922,0.00180775,-0.00002183,0.00001766,0.02220125,0.00046804,-0.00019766,,
440,0.0323,-0.0169,0.976,-0.00592444,-0.00037899,0.00001918,0.00291366,0.00024301,-0.00001075,0.01205732,-0.00249682,0.00020907,,
445,-0.0044,0.0024,1,-0.00827616,-0.00009135,2.12E-06,0.00453761,0.00008178,9.34E-06,0.00276946,0.00063925,-0.00023863,,
450,-0.0478,0.0283,1,-0.00903091,-0.0000596,-0.00002044,0.00605588,0.00022188,-4.21E-06,-0.00873516,-0.00294017,0.00024944,,
455,-0.097,0.0636,0.914,-0.01116019,-0.00036626,0.00002366,0.00795885,0.00015872,5.10E-06,-0.01942883,0.00080144,-0.00005513,,
460,-0.159,0.108,0.83,-0.01304833,-0.00001137,4.21E-06,0.0099287,0.00023525,-0.0000122,-0.01554954,-0.00002558,-0.0000769,,
465,-0.224,0.162,0.742,-0.0128465,0.00005173,0.00001551,0.01136635,0.00005228,-1.11E-06,-0.02157302,-0.00117912,0.00006674,,
470,-0.285,0.22,0.613,-0.01116567,0.00028443,-0.00001026,0.0118059,0.00003563,6.38E-07,-0.02835838,-0.00017796,0.00004193,,
475,-0.335,0.28,0.472,-0.0090908,0.00013054,-6.48E-06,0.01221003,0.00004519,6.56E-06,-0.02699347,0.00045094,0.00001355,,
480,-0.378,0.343,0.35,-0.00827111,0.00003339,0.00003617,0.01315397,0.00014359,-0.00002688,-0.02146774,0.00065421,-0.00002413,,
485,-0.414,0.409,0.256,-0.00522475,0.00057588,-0.00005019,0.01257409,-0.00025957,0.00005295,-0.01673556,0.00029223,0.00001898,,
490,-0.432,0.472,0.182,-0.00322989,-0.0001769,0.00006058,0.01394966,0.00053468,-0.00004892,-0.01239002,0.00057688,-0.00002778,,
495,-0.445,0.549,0.131,-0.00045571,0.00073174,-0.00004812,0.01562727,-0.00019916,0.00003074,-0.00870436,0.00016025,-3.88E-06,,
500,-0.435,0.626,0.091,0.00325272,9.95E-06,0.0000359,0.01594127,0.00026196,-0.00001804,-0.00739252,0.00010212,0.00001128,,
