wavelength,r,g,b,rspline3b,rspline3c,rspline3d,gspline3b,gspline3c,gspline3d,bspline3b,bspline3c,bspline3d
320,0,0,0,0.0243036,0,-7.74E-04,0,0,0.00E+00,0.024306,0,-0.0007766
321,6,0,6,0.0219811,-0.0023224,-5.09E-05,0,0,0.00E+00,0.0219762,-0.0023298,-0.0000385
322,11,0,11,0.0171837,-0.002475,9.78E-04,0,0,0.00E+00,0.017201,-0.0024453,0.0009306
323,15,0,15,0.0151665,0.0004579,0.0000619,0,0,0.00E+00,0.0151022,0.0003465,2.38E-04
324,19,0,19,0.016268,6.44E-04,-1.23E-03,0,0,0.00E+00,0.016508,0.0010594,-1.88E-03
325,23,0,23,0.0138792,-0.0030324,0.0009179,0,0,0,0.0129833,-0.0045841,0.0033655
326,26,0,26,0.010568,-0.0002788,0.0014754,0,0,0.00E+00,0.0139115,0.0055123,-0.0037375
327,29,0,30,0.0144368,0.0041476,-0.0028981,0,0,0,0.0137235,-0.0057003,0.0037416
328,33,0,33,0.0140377,-0.0045467,0.0022737,0,0,0,0.0135475,0.0055244,-0.0033857
329,36,0,37,0.0117655,0.0022745,-0.0022753,0,0,0,0.0144393,-0.0046326,0.001958
330,39,0,40,0.0094886,-0.0045513,0.0029058,0,0,0,0.011048,0.0012413,-0.0005246
331,41,0,43,0.0091035,0.0041661,-1.50E-03,0,0,0.00E+00,0.0119567,-0.0003326,0.0001406
332,44,0,46,0.0129211,-0.0003485,-0.0008078,0,0,0.00E+00,0.0117133,0.0000892,-0.0000377
333,47,0,49,0.0098005,-0.002772,0.0008146,0,0,0.00E+00,0.0117784,-0.000024,0.0000103
334,49,0,52,0.0067003,-0.0003282,1.47E-03,0,0,0,0.0117613,6.83E-06,-3.38E-06
335,51,0,55,0.010457,0.004085,-0.0027773,0,0,0.00E+00,0.0117648,-3.32E-06,3.25E-06
336,54,0,58,0.0102951,-0.0042469,0.0017949,0,0,0.00E+00,0.0117679,6.44E-06,-9.63E-06
337,56,0,61,0.0071861,0.0011378,-4.81E-04,0,0,0.00E+00,0.0117519,-0.0000225,0.0000353
338,58,0,64,0.0080194,-0.0003045,0.0001282,0,0,0,0.0118128,0.0000834,-0.0001314
339,60,0,67,0.0077951,0.0000801,-0.0000321,0,0,0,0.0115853,-0.0003108,0.0004902
340,62,0,70,0.0078591,-0.0000161,2.41E-08,0,0,0,0.0124343,0.0011598,-0.0018294
341,64,0,73,0.0078271,-0.000016,0.000032,0,0,0,0.0092657,-0.0043284,2.91E-03
342,66,0,75,0.0078912,8.01E-05,-0.0001282,0,0,0,0.0093263,0.0043889,-0.0019505
343,68,0,78,0.0076668,-0.0003045,0.0004808,0,0.00E+00,0,0.0122525,-0.0014627,0.0009749
344,70,0,81,0.0085003,0.0011379,-0.001795,0,0,0,0.0122517,0.0014619,-1.95E-03
345,72,0,84,0.005391,-0.0042472,0.0027778,0,0,0,0.0093288,-0.0043848,2.90E-03
346,73,0,86,0.0052299,0.0040861,-0.0014729,0,0,0,0.0092566,4.31E-03,-1.80E-03
347,75,0,89,0.0089834,-0.0003326,-0.0008077,0,0,0,0.0124683,-0.0011009,3.97E-04
348,77,0,92,0.0058952,-0.0027556,0.000782,0,0,0,0.0114583,0.0000908,-3.71E-03
349,78,0,94,0.00273,-0.0004095,0.0016011,0,0,0.00E+00,0.0005219,-0.0110272,1.05E-02
350,79,0,94,0.0067142,0.0043937,-0.0032648,0,0,0,0.0099833,0.0204886,-1.09E-02
